,IDpol,OccurDate,Payment,IDclaim,Guarantee
5564,90134799.100a,2004-04-01,122,1205063,TPL
5565,90146987.101a,2004-04-01,356,1205306,Windscreen
5566,90154388.100b,2004-04-01,915,1205152,TPL
5567,90159923.101a,2004-04-01,915,1207060,TPL
5568,90170313.100a,2004-04-01,6316,1205203,TPL
5569,90188802.101a,2004-04-01,245,1205621,Windscreen
5570,90192847.100a,2004-04-01,54,1204939,Damage
5571,1001590.100a,2004-04-02,452,1205490,Windscreen
5572,70201516.10b,2004-04-02,282,1205783,Windscreen
5573,90110429.100b,2004-04-02,139,1205052,Windscreen
5574,90110986.100c,2004-04-02,915,1205171,TPL
5575,90127066.101b,2004-04-02,226,1205481,Windscreen
5576,90145514.101a,2004-04-02,1251,1206685,Damage
5577,90146233.100b,2004-04-02,3637,1205094,TPL
5578,90147730.100b,2004-04-02,539,1208382,TPL
5579,90148929.100b,2004-04-02,60,1206259,Windscreen
5580,90149513.100a,2004-04-02,816,1205511,TPL
5581,90164568.101b,2004-04-02,14,1205670,TPL
5582,90169939.100b,2004-04-02,707,1205106,TPL
5583,90173038.101a,2004-04-02,1014,1204937,TPL
5584,90182790.100a,2004-04-02,45,1205019,TPL
5585,90185908.100c,2004-04-02,993,1205044,Damage
5586,90191320.100b,2004-04-02,287,1205430,Windscreen
5587,90194819.100b,2004-04-02,261,1207074,Windscreen
5588,90121746.100a,2004-04-03,566,1204878,TPL
5589,90139179.101b,2004-04-03,372,1205017,TPL
5590,90171012.100a,2004-04-03,915,1204948,TPL
5591,90171064.100a,2004-04-03,1430,1209382,Damage
5592,90189823.100b,2004-04-03,915,1205634,TPL
5593,80100253.103a,2004-04-04,502,1205269,Windscreen
5594,90108128.101b,2004-04-04,406,1204874,TPL
5595,90122962.101a,2004-04-04,4937,1205194,TPL
5596,90125793.101a,2004-04-04,64,1204894,Windscreen
5597,90128880.101b,2004-04-04,94,1205118,Windscreen
5598,90129280.102b,2004-04-04,151,1205144,Windscreen
5599,90132062.100a,2004-04-04,523,1205427,Windscreen
5600,90148969.100a,2004-04-04,715,1204945,TPL
5601,90152865.100a,2004-04-04,1081,1205238,TPL
5602,90155223.100a,2004-04-04,495,1205808,Windscreen
5603,90157004.100a,2004-04-04,80,1204834,TPL
5604,90157272.102a,2004-04-04,569,1204870,Windscreen
5605,90159177.101a,2004-04-04,456,1205177,TPL
5606,90171938.100a,2004-04-04,18947,1205082,TPL
5607,90181191.100a,2004-04-04,170,1209302,Windscreen
5608,90189115.101a,2004-04-04,515,1204996,TPL
5609,70201526.100a,2004-04-05,429,1205114,Windscreen
5610,90110914.102a,2004-04-05,777,1205366,TPL
5611,90132327.100a,2004-04-05,571,1204877,TPL
5612,90133595.104b,2004-04-05,3256,1204672,TPL
5613,90146402.100a,2004-04-05,61,1204999,Windscreen
5614,90165788.100a,2004-04-05,424,1204861,TPL
5615,90176168.100a,2004-04-05,0,1205673,TPL
5616,90185490.100b,2004-04-05,290,1205554,Windscreen
5617,90105511.100b,2004-04-06,51,1204727,Windscreen
5618,90110381.101a,2004-04-06,1415,1204708,TPL
5619,90126129.101a,2004-04-06,203,1205032,Windscreen
5620,90127787.101b,2004-04-06,271,1209311,Windscreen
5621,90133353.100b,2004-04-06,110,1209305,Windscreen
5622,90178807.100a,2004-04-06,284,1204831,TPL
5623,90179654.101c,2004-04-06,2134,1204869,Damage
5624,90180344.100c,2004-04-06,69,1204759,TPL
5625,90185004.101a,2004-04-06,6344,1205010,TPL
5626,90185146.100a,2004-04-06,251,1205051,Windscreen
5627,90185822.100b,2004-04-06,408,1206109,Windscreen
5628,90112488.101a,2004-04-07,234,1209306,Windscreen
5629,90156667.100c,2004-04-07,2047,1204731,TPL
5630,90157475.100b,2004-04-07,915,1204728,TPL
5631,90164457.100b,2004-04-07,1417,1204734,TPL
5632,90175972.100a,2004-04-07,915,1204798,TPL
5633,40200015.101b,2004-04-08,268,1204902,Windscreen
5634,70200133.101b,2004-04-08,453,1204816,TPL
5635,70201513.100a,2004-04-08,258,1205660,Damage
5636,70205518.102a,2004-04-08,537,1205134,Windscreen
5637,90107873.101a,2004-04-08,393,1204744,TPL
5638,90110722.100a,2004-04-08,17606,1204856,Damage
5639,90110902.101b,2004-04-08,1525,1204709,TPL
5640,90113786.101b,2004-04-08,252,1205568,Windscreen
5641,90125996.100a,2004-04-08,2360,1204748,TPL
5642,90126727.101a,2004-04-08,2912,1204794,TPL
5643,90133049.101a,2004-04-08,1001,1204658,TPL
5644,90144819.100a,2004-04-08,452,1204898,Windscreen
5645,90146402.100a,2004-04-08,915,1204977,TPL
5646,90150428.100a,2004-04-08,624,1204931,TPL
5647,90151907.100a,2004-04-08,2203,1204643,TPL
5648,90154393.100b,2004-04-08,199,1205020,Windscreen
5649,90167749.100a,2004-04-08,262,1205390,Theft
5650,90167763.100a,2004-04-08,1378,1204879,Damage
5651,90181834.100a,2004-04-08,915,1204934,TPL
5652,90188990.100a,2004-04-08,147,1204787,TPL
5653,1002009.100a,2004-04-09,428,1204634,Windscreen
5654,1005801.101a,2004-04-09,915,1204746,TPL
5655,50200140.101b,2004-04-09,2683,1204718,Theft
5656,90105309.101b,2004-04-09,198,1206107,Windscreen
5657,90111511.101a,2004-04-09,894,1205593,Theft
5658,90126140.101a,2004-04-09,449,1205318,Theft
5659,90144772.100a,2004-04-09,530,1205178,TPL
5660,90149578.100a,2004-04-09,495,1204712,TPL
5661,90150989.100a,2004-04-09,170,1205103,Windscreen
5662,90153399.100b,2004-04-09,458,1207061,TPL
5663,90160632.100a,2004-04-09,43,1204655,TPL
5664,90164564.101a,2004-04-09,1118,1205518,TPL
5665,90181834.100a,2004-04-09,302,1204930,TPL
5666,90181878.100a,2004-04-09,1515,1204671,TPL
5667,90185933.101a,2004-04-09,1149,1204592,TPL
5668,1001951.100a,2004-04-10,415,1205371,Windscreen
5669,1003491.100a,2004-04-10,915,1204933,TPL
5670,80100208.101a,2004-04-10,78,1205611,Windscreen
5671,90111503.101a,2004-04-10,915,1209106,TPL
5672,90130859.100a,2004-04-10,0,1205165,Windscreen
5673,90148626.100b,2004-04-10,230,1205586,Windscreen
5674,90151422.100b,2004-04-10,320,1209315,Windscreen
5675,90159761.100a,2004-04-10,269,1204729,Windscreen
5676,90160598.100a,2004-04-10,3506,1204676,Theft
5677,90163001.100a,2004-04-10,636,1204724,TPL
5678,90166472.100a,2004-04-10,850,1204603,Damage
5679,90173850.100b,2004-04-10,6616,1204797,TPL
5680,90182364.100a,2004-04-10,638,1205002,Damage
5681,90185164.100a,2004-04-10,161,1204813,Windscreen
5682,90185270.100b,2004-04-10,76,1204865,Windscreen
5683,80201138.102a,2004-04-11,115,1205569,Windscreen
5684,90127058.101c,2004-04-11,272,1204687,Damage
5685,90127058.101c,2004-04-11,144,1204691,Windscreen
5686,90131259.101a,2004-04-11,427,1204559,TPL
5687,90154288.101a,2004-04-11,2387,1204661,Theft
5688,90154472.101a,2004-04-11,741,1204967,Windscreen
5689,90155941.100a,2004-04-11,292,1209314,Windscreen
5690,90187347.100b,2004-04-11,344,1204552,TPL
5691,10100125.101a,2004-04-12,293,1204900,Windscreen
5692,60100379.101b,2004-04-12,91,1205496,Windscreen
5693,90100955.10a,2004-04-12,190,1204514,Windscreen
5694,90104480.101a,2004-04-12,162,1205566,Windscreen
5695,90104697.101a,2004-04-12,3464,1204448,TPL
5696,90111356.10a,2004-04-12,257,1204523,Windscreen
5697,90113937.101a,2004-04-12,311,1204456,TPL
5698,90132603.101a,2004-04-12,101,1204639,TPL
5699,90145812.100a,2004-04-12,805,1204974,Windscreen
5700,90149450.100a,2004-04-12,172,1205000,Windscreen
5701,90154290.100a,2004-04-12,54,1206248,Windscreen
5702,90158409.100b,2004-04-12,915,1204453,TPL
5703,90171968.100a,2004-04-12,461,1205345,Windscreen
5704,90175994.100b,2004-04-12,756,1205115,Windscreen
5705,90178166.100a,2004-04-12,915,1204602,TPL
5706,90180421.100a,2004-04-12,162,1206183,Windscreen
5707,90181688.100a,2004-04-12,915,1204698,TPL
5708,90126992.103a,2004-04-13,0,1204526,Windscreen
5709,90132141.100a,2004-04-13,2569,1204505,TPL
5710,90151608.100a,2004-04-13,297,1204786,Windscreen
5711,90151776.100a,2004-04-13,715,1205042,TPL
5712,90162725.101e,2004-04-13,419,1206045,Windscreen
5713,90173850.100b,2004-04-13,628,1204512,TPL
5714,90193189.100a,2004-04-13,2990,1204476,Damage
5715,90111568.100a,2004-04-14,605,1204825,Windscreen
5716,90144759.102a,2004-04-14,915,1204619,TPL
5717,90151252.100a,2004-04-14,2861,1204516,Damage
5718,90176230.100d,2004-04-14,16789,1204426,TPL
5719,90180755.100a,2004-04-14,1408,1204364,TPL
5720,1006822.100b,2004-04-15,411,1209317,Windscreen
5721,90105460.100b,2004-04-15,567,1204388,TPL
5722,90130070.100a,2004-04-15,915,1204702,TPL
5723,90133329.100a,2004-04-15,1830,1204406,TPL
5724,90154401.100b,2004-04-15,915,1204624,TPL
5725,90156690.100b,2004-04-15,34,1204657,Theft
5726,90188071.100a,2004-04-15,487,1204339,TPL
5727,1003378.100b,2004-04-16,193,1204909,Windscreen
5728,90126111.100a,2004-04-16,107,1205030,Windscreen
5729,90128187.101a,2004-04-16,1377,1204518,TPL
5730,90133878.100a,2004-04-16,2139,1204398,TPL
5731,90134866.101d,2004-04-16,1339,1204248,TPL
5732,90134958.101b,2004-04-16,620,1204430,TPL
5733,90138205.100a,2004-04-16,91,1204321,TPL
5734,90149097.100b,2004-04-16,1248,1204571,TPL
5735,90158968.100a,2004-04-16,1529,1204418,TPL
5736,90158968.100a,2004-04-16,269,1205027,Windscreen
5737,90168705.100a,2004-04-16,360,1204524,Windscreen
5738,90180962.100a,2004-04-16,96,1204484,Windscreen
5739,90188397.100a,2004-04-16,572,1205248,TPL
5740,90194017.101a,2004-04-16,6431,1204531,TPL
5741,1006912.100a,2004-04-17,202,1205028,Windscreen
5742,1011037.100a,2004-04-17,915,1204232,TPL
5743,90133601.100a,2004-04-17,915,1204265,TPL
5744,90147843.100a,2004-04-17,17,1204163,TPL
5745,90149279.101b,2004-04-17,675,1204194,TPL
5746,90149601.100a,2004-04-17,894,1204511,Damage
5747,90154375.100b,2004-04-17,855,1204410,Windscreen
5748,90159906.100b,2004-04-17,688,1204481,TPL
5749,90168283.100a,2004-04-17,246,1204240,Windscreen
5750,90175828.101a,2004-04-17,479,1204817,Windscreen
5751,90181462.101a,2004-04-17,915,1204340,TPL
5752,1001942.100a,2004-04-18,264,1204905,Windscreen
5753,40201471.101a,2004-04-18,190,1204893,Windscreen
5754,60100379.101a,2004-04-18,1515,1204441,TPL
5755,80201113.10a,2004-04-18,21292,1204233,Damage
5756,90105886.10a,2004-04-18,873,1204474,TPL
5757,90108813.101a,2004-04-18,297,1204889,Windscreen
5758,90113046.100a,2004-04-18,1337,1204427,TPL
5759,90127914.102a,2004-04-18,124,1204483,Windscreen
5760,90132376.102c,2004-04-18,440,1204313,TPL
5761,90134248.100a,2004-04-18,209,1204247,Windscreen
5762,90134947.100a,2004-04-18,2422,1204714,TPL
5763,90136865.100a,2004-04-18,239,1204891,Windscreen
5764,90156518.100a,2004-04-18,1317,1204317,TPL
5765,90179166.100a,2004-04-18,343,1204214,Windscreen
5766,90182224.100a,2004-04-18,715,1204288,Damage
5767,1003440.100a,2004-04-19,1490,1204190,TPL
5768,90111464.10a,2004-04-19,1715,1205756,TPL
5769,90125476.101a,2004-04-19,293,1204881,Windscreen
5770,90135407.100a,2004-04-19,7525,1204208,Theft
5771,90148224.100a,2004-04-19,330,1204380,Windscreen
5772,90157049.101a,2004-04-19,162,1204888,Windscreen
5773,90165232.101b,2004-04-19,516,1205476,TPL
5774,90187938.100a,2004-04-19,1229,1204205,TPL
5775,90103531.10b,2004-04-20,193,1204256,TPL
5776,90111560.101b,2004-04-20,14775,1204110,TPL
5777,90120370.103c,2004-04-20,355,1205463,Windscreen
5778,90144767.100a,2004-04-20,297,1204899,Windscreen
5779,90147740.100a,2004-04-20,294,1206495,Windscreen
5780,90147912.100a,2004-04-20,915,1204117,TPL
5781,90148755.100a,2004-04-20,915,1204126,TPL
5782,90149742.100a,2004-04-20,684,1204213,Theft
5783,90150359.100a,2004-04-20,32,1204690,TPL
5784,90154018.100a,2004-04-20,575,1204307,Damage
5785,90185392.100a,2004-04-20,564,1204684,Damage
5786,90189819.100b,2004-04-20,199,1204399,TPL
5787,90194820.100b,2004-04-20,770,1204097,Windscreen
5788,80200157.10a,2004-04-21,915,1204118,TPL
5789,90104151.100b,2004-04-21,915,1204185,TPL
5790,90105153.101b,2004-04-21,1285,1204091,TPL
5791,90133004.100a,2004-04-21,157,1203975,TPL
5792,90133779.100a,2004-04-21,268,1204407,Windscreen
5793,90135259.100c,2004-04-21,697,1204103,Windscreen
5794,90157831.100b,2004-04-21,288,1204099,Damage
5795,90158846.101a,2004-04-21,104,1204249,TPL
5796,90163367.100c,2004-04-21,471,1204250,TPL
5797,90173061.100b,2004-04-21,218,1204850,Windscreen
5798,90186103.101a,2004-04-21,0,1204074,TPL
5799,90191773.100a,2004-04-21,524,1204115,TPL
5800,1006802.100a,2004-04-22,353,1204098,Windscreen
5801,90100749.101a,2004-04-22,0,1204262,Damage
5802,90102142.101a,2004-04-22,660,1204236,Damage
5803,90154904.102a,2004-04-22,915,1209342,TPL
5804,90165686.100a,2004-04-22,315,1204373,TPL
5805,90179389.101a,2004-04-22,76,1204235,TPL
5806,90188971.101b,2004-04-22,170,1204433,Windscreen
5807,90194829.100a,2004-04-22,3711,1204274,TPL
5808,1000937.100c,2004-04-23,6810,1204061,TPL
5809,20100120.10b,2004-04-23,143,1204395,Windscreen
5810,90108658.101b,2004-04-23,3573,1204141,TPL
5811,90109134.10a,2004-04-23,915,1204123,TPL
5812,90130899.100a,2004-04-23,1501,1208643,Damage
5813,90145839.100a,2004-04-23,242,1204963,Windscreen
5814,90152252.100a,2004-04-23,231,1204108,Windscreen
5815,90153813.100a,2004-04-23,869,1204226,TPL
5816,90155449.102a,2004-04-23,78,1204614,Windscreen
5817,90163218.100a,2004-04-23,137,1204521,Windscreen
5818,90165773.100b,2004-04-23,4287,1205485,TPL
5819,90167885.100c,2004-04-23,71,1204132,TPL
5820,90171829.101a,2004-04-23,3379,1204268,Theft
5821,90103596.10a,2004-04-24,272,1204548,Windscreen
5822,90104934.101a,2004-04-24,1331,1203820,TPL
5823,90132871.100a,2004-04-24,330,1204011,TPL
5824,90135219.100a,2004-04-24,126,1204617,Windscreen
5825,90152270.100b,2004-04-24,915,1204184,TPL
5826,90168026.100b,2004-04-24,417,1204312,TPL
5827,90180851.100b,2004-04-24,651,1203974,TPL
5828,90181560.100a,2004-04-24,90,1204040,TPL
5829,90185146.100b,2004-04-24,0,1207108,TPL
5830,90187192.100a,2004-04-24,0,1203867,TPL
5831,90191826.100a,2004-04-24,258,1204166,TPL
5832,90107373.101a,2004-04-25,314,1203994,Windscreen
5833,90149920.100a,2004-04-25,57,1204031,TPL
5834,90154029.100a,2004-04-25,1336,1204083,TPL
5835,90154351.102a,2004-04-25,915,1209364,TPL
5836,90156384.100b,2004-04-25,1937,1204260,Damage
5837,90165232.101c,2004-04-25,201,1204591,Windscreen
5838,90170484.100b,2004-04-25,135,1206531,Windscreen
5839,90185788.100c,2004-04-25,915,1204209,TPL
5840,90189115.101a,2004-04-25,1141,1204255,TPL
5841,20100162.10a,2004-04-26,915,1203901,TPL
5842,90110421.101a,2004-04-26,268,1204013,Damage
5843,90119246.101a,2004-04-26,2215,1204014,TPL
5844,90126974.100a,2004-04-26,279,1203953,Windscreen
5845,90132548.100b,2004-04-26,243,1204298,Windscreen
5846,90149100.100a,2004-04-26,360,1204849,Windscreen
5847,90149351.101b,2004-04-26,53,1204181,TPL
5848,90152644.100b,2004-04-26,293,1203993,Windscreen
5849,90160212.100a,2004-04-26,915,1204367,TPL
5850,90163057.100a,2004-04-26,349,1204379,Windscreen
5851,90168768.100b,2004-04-26,238,1203699,TPL
5852,90180177.101a,2004-04-26,915,1204162,TPL
5853,1010832.100a,2004-04-27,400,1204705,TPL
5854,90104878.101a,2004-04-27,2139,1203723,TPL
5855,90130924.100b,2004-04-27,350,1204423,Windscreen
5856,90141626.100a,2004-04-27,144,1203977,Windscreen
5857,90145580.101b,2004-04-27,101,1203888,TPL
5858,90149129.100b,2004-04-27,287,1204211,TPL
5859,90150973.100a,2004-04-27,494,1205150,Windscreen
5860,90156336.100a,2004-04-27,85,1204611,Damage
5861,90157646.100a,2004-04-27,915,1204023,TPL
5862,90158161.100a,2004-04-27,420,1204220,Windscreen
5863,90159193.100a,2004-04-27,326,1204151,Windscreen
5864,90167279.100a,2004-04-27,2332,1204231,TPL
5865,90185817.100a,2004-04-27,184,1204362,Windscreen
5866,90191953.100a,2004-04-27,308,1203737,Windscreen
5867,90192868.100a,2004-04-27,915,1203648,TPL
5868,90104142.10a,2004-04-28,103,1203672,Theft
5869,90119459.101b,2004-04-28,1136,1203760,Theft
5870,90130077.100a,2004-04-28,183,1204092,Windscreen
5871,90132192.100a,2004-04-28,915,1203595,TPL
5872,90151756.100a,2004-04-28,0,1203663,Theft
5873,90154802.100a,2004-04-28,19,1204130,Damage
5874,90158115.100a,2004-04-28,413,1203912,TPL
5875,90168039.100a,2004-04-28,915,1204116,TPL
5876,90193763.100a,2004-04-28,372,1204275,Damage
5877,90128174.101d,2004-04-29,1677,1203937,TPL
5878,90131447.100b,2004-04-29,310,1203837,Windscreen
5879,90151913.100a,2004-04-29,2282,1203557,Damage
5880,90166567.100a,2004-04-29,1093,1203954,TPL
5881,90179558.100a,2004-04-29,371,1203572,Windscreen
5882,90192784.100b,2004-04-29,915,1203567,TPL
5883,90194883.100a,2004-04-29,107,1204243,Windscreen
5884,90103773.10a,2004-04-30,179,1204542,Windscreen
5885,90107991.101a,2004-04-30,404,1203711,Windscreen
5886,90108016.101a,2004-04-30,279,1203864,Windscreen
5887,90111511.101a,2004-04-30,521,1203876,Theft
5888,90113345.101a,2004-04-30,410,1204576,Windscreen
5889,90121358.101a,2004-04-30,220,1203506,Windscreen
5890,90132340.102a,2004-04-30,212,1204301,Windscreen
5891,90140585.100a,2004-04-30,757,1203916,Damage
5892,90149736.100a,2004-04-30,104,1203523,Windscreen
5893,90153198.100b,2004-04-30,3767,1203773,Damage
5894,90168399.100a,2004-04-30,518,1204299,Windscreen
5895,90170148.100b,2004-04-30,915,1203638,TPL
5896,90179785.100a,2004-04-30,243,1206528,Windscreen
5897,90193799.100b,2004-04-30,343,1203872,TPL
5898,90194842.100b,2004-04-30,285,1204245,Windscreen
5899,90125269.101a,2004-05-01,9,1203787,TPL
5900,90131354.101a,2004-05-01,280,1204155,Windscreen
5901,90147723.100a,2004-05-01,630,1203856,TPL
5902,90147777.100a,2004-05-01,437,1204356,Windscreen
5903,90160662.100c,2004-05-01,98,1203764,TPL
5904,90166429.100b,2004-05-01,231,1203503,Windscreen
5905,90170237.101a,2004-05-01,429,1204606,Windscreen
5906,90180459.101a,2004-05-01,288,1204607,Windscreen
5907,90182345.100a,2004-05-01,840,1203964,Damage
5908,90100969.100a,2004-05-02,272,1203740,Damage
5909,90113770.102a,2004-05-02,344,1204048,Windscreen
5910,90125857.101c,2004-05-02,604,1203882,Theft
5911,90135357.101a,2004-05-02,1417,1203554,TPL
5912,90145750.101b,2004-05-02,1549,1204147,Theft
5913,90149441.101b,2004-05-02,1483,1203522,TPL
5914,90156691.100a,2004-05-02,211,1204581,Windscreen
5915,90157495.100b,2004-05-02,324,1205384,Windscreen
5916,90157831.100a,2004-05-02,243,1204355,Windscreen
5917,90160064.100c,2004-05-02,7845,1203783,TPL
5918,90162659.100a,2004-05-02,248,1204169,Windscreen
5919,90166104.100a,2004-05-02,515,1203562,TPL
5920,90175863.100a,2004-05-02,88,1204329,TPL
5921,90187794.100a,2004-05-02,915,1204286,TPL
5922,90188046.100b,2004-05-02,925,1203999,TPL
5923,90111273.101a,2004-05-03,123,1204354,Windscreen
5924,90111349.10a,2004-05-03,110,1203845,Damage
5925,90113776.101a,2004-05-03,212,1204609,Windscreen
5926,90124966.101a,2004-05-03,69,1203753,TPL
5927,90135312.101a,2004-05-03,915,1203454,TPL
5928,90139185.100a,2004-05-03,296,1204604,Windscreen
5929,90146104.100b,2004-05-03,626,1204143,Fire
5930,90152789.100a,2004-05-03,255,1204348,Windscreen
5931,90158852.100b,2004-05-03,290,1204347,Windscreen
5932,90159906.100b,2004-05-03,106,1203518,Windscreen
5933,90161448.100b,2004-05-03,127,1205023,Windscreen
5934,90171816.100a,2004-05-03,323,1203868,TPL
5935,90174312.101c,2004-05-03,283,1203515,Windscreen
5936,90193771.100a,2004-05-03,2858,1207048,TPL
5937,90119166.101c,2004-05-04,813,1203666,Theft
5938,90134074.100a,2004-05-04,490,1203770,TPL
5939,90147970.100a,2004-05-04,5201,1204308,TPL
5940,90149284.100a,2004-05-04,100,1203987,Windscreen
5941,90188886.100a,2004-05-04,92,1204351,Windscreen
5942,90108255.101b,2004-05-05,1664,1207154,TPL
5943,90173086.100a,2004-05-05,3773,1204052,TPL
5944,50200829.101a,2004-05-06,915,1203342,TPL
5945,90100227.10a,2004-05-06,915,1203587,TPL
5946,90103603.102b,2004-05-06,1001,1203664,TPL
5947,90110899.100a,2004-05-06,521,1203430,Damage
5948,90114445.101c,2004-05-06,16,1203686,TPL
5949,90115231.103b,2004-05-06,147,1203509,Windscreen
5950,90133233.100a,2004-05-06,342,1203763,TPL
5951,90141327.100b,2004-05-06,301,1203309,Windscreen
5952,90146333.100b,2004-05-06,366,1203374,Theft
5953,90146498.100a,2004-05-06,915,1203891,TPL
5954,90146795.100a,2004-05-06,1457,1203779,TPL
5955,90155165.100a,2004-05-06,346,1205138,Windscreen
5956,90158065.100a,2004-05-06,573,1203676,TPL
5957,90158368.100a,2004-05-06,26,1204016,Theft
5958,90167533.100a,2004-05-06,4357,1203640,TPL
5959,90182610.100b,2004-05-06,272,1204352,Windscreen
5960,1007609.101a,2004-05-07,145,1203532,TPL
5961,80200136.102c,2004-05-07,1516,1203449,TPL
5962,90107872.101b,2004-05-07,915,1203516,TPL
5963,90111771.100a,2004-05-07,186,1204100,Windscreen
5964,90112238.101b,2004-05-07,507,1203578,Windscreen
5965,90112238.101a,2004-05-07,397,1203580,Windscreen
5966,90121358.101a,2004-05-07,2005,1203458,TPL
5967,90127287.101a,2004-05-07,497,1203691,TPL
5968,90145355.101c,2004-05-07,733,1203767,Damage
5969,90146204.100a,2004-05-07,134,1203568,Windscreen
5970,90147320.100a,2004-05-07,386,1203539,TPL
5971,90149604.100c,2004-05-07,715,1203698,TPL
5972,90152594.102a,2004-05-07,915,1203738,TPL
5973,90153449.100c,2004-05-07,55,1203432,TPL
5974,90159301.100c,2004-05-07,1060,1203418,TPL
5975,90171890.101a,2004-05-07,87,1205344,Windscreen
5976,90194836.100b,2004-05-07,115,1203984,Windscreen
5977,40200263.101a,2004-05-08,128,1203931,Windscreen
5978,90100195.10a,2004-05-08,86,1203605,Windscreen
5979,90127085.100a,2004-05-08,71,1203728,Theft
5980,90128782.101b,2004-05-08,478,1204071,TPL
5981,90133029.101b,2004-05-08,326,1203929,Windscreen
5982,90146406.100b,2004-05-08,915,1203448,TPL
5983,90152020.100a,2004-05-08,85,1203607,Windscreen
5984,90159855.100a,2004-05-08,0,1203789,TPL
5985,90160808.100b,2004-05-08,521,1203908,Theft
5986,90168227.100a,2004-05-08,1429,1204710,TPL
5987,90168279.100a,2004-05-08,269,1203661,TPL
5988,90176366.100a,2004-05-08,91,1203915,Windscreen
5989,90179820.101a,2004-05-08,1141,1203652,Damage
5990,90189161.100a,2004-05-08,220,1204353,Windscreen
5991,90103606.10a,2004-05-09,91,1203930,Windscreen
5992,90104695.101a,2004-05-09,22,1203452,Theft
5993,90104704.101c,2004-05-09,421,1203358,Windscreen
5994,90108665.100b,2004-05-09,249,1203918,Windscreen
5995,90110868.101a,2004-05-09,2738,1203451,TPL
5996,90123956.101b,2004-05-09,1143,1203755,TPL
5997,90124577.102a,2004-05-09,252,1203927,Windscreen
5998,90127085.100a,2004-05-09,671,1203453,TPL
5999,90148438.100c,2004-05-09,1835,1204067,TPL
6000,90149362.100a,2004-05-09,894,1203462,Other
6001,90151652.100a,2004-05-09,93,1203456,TPL
6002,90154625.100a,2004-05-09,0,1205803,Other
6003,90155625.100a,2004-05-09,2001,1203685,Fire
6004,90156523.100a,2004-05-09,915,1204175,TPL
6005,90160255.100b,2004-05-09,1643,1203421,Damage
6006,90168902.101a,2004-05-09,367,1203911,Windscreen
6007,90189160.100c,2004-05-09,1251,1203329,TPL
6008,90116081.101a,2004-05-10,422,1203512,Windscreen
6009,90128700.102a,2004-05-10,290,1203252,Windscreen
6010,90131364.101b,2004-05-10,915,1203410,TPL
6011,90133115.100a,2004-05-10,145,1203146,TPL
6012,90133791.100a,2004-05-10,150,1203320,Windscreen
6013,90138471.100a,2004-05-10,71,1203687,TPL
6014,90139317.100a,2004-05-10,428,1203885,TPL
6015,90147630.101a,2004-05-10,397,1203499,TPL
6016,90147704.100a,2004-05-10,162,1203631,Windscreen
6017,90151799.100a,2004-05-10,328,1203645,Windscreen
6018,90152464.101a,2004-05-10,347,1203023,Windscreen
6019,90179417.100a,2004-05-10,369,1203829,TPL
6020,90191338.100a,2004-05-10,366,1203616,Windscreen
6021,60100124.100a,2004-05-11,197,1203431,Windscreen
6022,90104390.101a,2004-05-11,607,1203869,Theft
6023,90117973.101b,2004-05-11,223,1203249,Windscreen
6024,90119246.101a,2004-05-11,322,1203203,TPL
6025,90128405.101a,2004-05-11,1147,1203162,TPL
6026,90132710.100e,2004-05-11,346,1203836,Windscreen
6027,90140643.100a,2004-05-11,1630,1203675,TPL
6028,90144902.101a,2004-05-11,205,1203858,Windscreen
6029,90147435.100a,2004-05-11,219,1203327,TPL
6030,90148849.101b,2004-05-11,632,1205977,TPL
6031,90152084.100a,2004-05-11,915,1203463,TPL
6032,90190296.100a,2004-05-11,438,1203144,TPL
6033,1005283.100a,2004-05-12,915,1203870,TPL
6034,90126712.100a,2004-05-12,858,1203345,TPL
6035,90128697.100a,2004-05-12,285,1203231,Windscreen
6036,90134628.100a,2004-05-12,1143,1203494,TPL
6037,90134929.101a,2004-05-12,548,1203240,Damage
6038,90172501.100a,2004-05-12,1001,1203519,TPL
6039,90183973.100a,2004-05-12,185,1205789,TPL
6040,90194235.100a,2004-05-12,319,1204095,Windscreen
6041,90129252.100c,2004-05-13,894,1203588,Damage
6042,90134761.102a,2004-05-13,4282,1203281,Theft
6043,90152956.101b,2004-05-13,583,1203853,Other
6044,90162988.100a,2004-05-13,579,1203468,TPL
6045,90182790.100a,2004-05-13,209,1203166,Windscreen
6046,90190763.100a,2004-05-13,1928,1203785,TPL
6047,90193912.100a,2004-05-13,832,1203199,Theft
6048,90116048.101b,2004-05-14,171,1203006,TPL
6049,90133830.100b,2004-05-14,285,1203165,TPL
6050,90139459.100a,2004-05-14,436,1203221,TPL
6051,90147883.100a,2004-05-14,771,1203193,TPL
6052,90156544.101b,2004-05-14,2039,1203368,TPL
6053,90157490.100b,2004-05-14,807,1203268,TPL
6054,90173104.100a,2004-05-14,438,1203279,TPL
6055,90176212.100a,2004-05-14,507,1203412,TPL
6056,266.101a,2004-05-15,343,1203239,Windscreen
6057,70100061.102a,2004-05-15,5945,1203005,TPL
6058,90100728.10b,2004-05-15,102,1203826,Windscreen
6059,90119058.101b,2004-05-15,57,1203835,Windscreen
6060,90133457.100a,2004-05-15,235,1204102,Windscreen
6061,90133582.100a,2004-05-15,191,1203191,TPL
6062,90147009.100c,2004-05-15,220,1203622,Windscreen
6063,90148772.100a,2004-05-15,170,1203370,TPL
